Title,Length of Song,Artist Name,Album,Genre,Star,Plays,Release Date,Year,Skips,Last Played,Date Added To Library
It Ain't Me,3:41,Kygo & Selena Gomez,It Ain't Me - Single,Pop,1,1,17/02/2017,2017,11,"12/09/2023, 8:03 PM","06/08/2020, 8:39 PM"
It Girl,3:12,Jason Derulo,Future History,Pop,1,3,09/08/2011,2011,5,"24/09/2024, 7:23 AM","07/08/2020, 1:03 AM"
It Was Always You,4:00,Maroon 5,V (Deluxe),Pop,1,4,29/08/2014,2014,3,"12/06/2024, 8:13 AM","28/12/2020, 9:42 AM"
It Wasn't Me (feat. Ricardo Ducent),3:48,Shaggy,Hot Shot,Pop,0,10,08/08/2000,2000,7,"18/06/2024, 11:28 AM","13/01/2022, 2:29 PM"
It’s Euphoric,3:41,Georgia,Euphoric,Pop,0,1,28/07/2023,2023,7,"17/09/2023, 5:25 AM","06/06/2023, 2:55 AM"
It's OK (Live at MHS Studios),4:05,Nightbirde,It's OK (Live at MHS Studios) - Single,Singer/Songwriter,0,4,12/02/2021,2021,7,"27/11/2023, 6:14 AM","28/02/2022, 3:34 PM"
It's Tricky,3:04,Run-DMC,Raising Hell,Hip-Hop/Rap,0,9,15/05/1986,1986,7,"24/09/2024, 7:28 AM","10/06/2022, 11:06 AM"
Jaadugar,3:12,Paradox,Mtv Hustle 2.0,Indian Pop,1,10,13/10/2022,2022,1,"09/09/2023, 7:16 AM","09/09/2023, 6:04 AM"
Jaan 'nisaar (Arijit),3:58,Arijit Singh,Kedarnath (Original Motion Picture Soundtrack),Bollywood,0,4,27/11/2018,2018,9,"30/04/2024, 7:43 AM","05/04/2021, 11:19 PM"
"Jaane Na Dunga Kahin (From ""Never Kiss Your Best Friend"")",3:12,Armaan Malik & Yash Narvekar,"Jaane Na Dunga Kahin (From ""Never Kiss Your Best Friend"") [Original Motion Picture Soundtrack] - Single",Soundtrack,0,14,14/01/2020,2020,10,"01/10/2024, 7:36 AM","06/08/2020, 9:45 PM"
Jaani Tera Naa,3:09,Sunanda Sharma,Jaani Tera Naa - Single,Indian,1,14,12/09/2017,2017,9,"24/12/2023, 4:33 PM","08/08/2020, 1:06 AM"
Jackie Chan (feat. Preme & Post Malone),3:36,Tiësto & Dzeko,Jackie Chan (feat. Preme & Post Malone) - Single,Dance,1,8,04/05/2018,2018,6,"22/02/2024, 10:09 AM","22/06/2023, 9:51 AM"
Jagga Jiteya,3:11,"Daler Mehndi, Dee MC, Shashwat Sachdev & Kumaar",Uri - The Surgical Strike (Original Motion Picture Soundtrack) - EP,Bollywood,0,20,04/01/2019,2019,6,"22/05/2024, 9:10 AM","21/03/2021, 11:05 AM"
Jaguar (feat. Bohemia),2:47,Sukh-E Muzical Doctorz,Jaguar - Single (feat. Bohemia) - Single,Indian Pop,1,21,01/01/2015,2015,17,"27/04/2024, 9:40 AM","08/08/2020, 1:11 AM"
JASHAN-E-HIP-HOP,2:52,Raftaar,HARD DRIVE Vol. 1,Hip-Hop/Rap,0,23,16/11/2022,2022,4,"07/08/2024, 5:14 PM","23/01/2023, 9:04 PM"
Jatt Vailly,2:32,Diljit Dosanjh,Ghost,Worldwide,0,1,29/09/2023,2023,6,"23/08/2024, 8:00 AM","31/01/2024, 9:50 AM"
Jawan Title Track,3:08,Anirudh Ravichander & Raja Kumari,Jawan (Original Motion Picture Soundtrack),Bollywood,0,16,05/09/2023,2023,2,"31/08/2024, 8:41 AM","19/01/2024, 7:09 AM"
Jee Na Paunga,3:36,Vishal Mishra,Jee Na Paunga - Single,Soundtrack,0,6,18/01/2020,2020,6,"19/08/2024, 8:42 AM","01/05/2022, 2:44 PM"
Jeena Jeena,3:49,Atif Aslam,Badlapur (Original Motion Picture Soundtrack),Bollywood,0,7,15/01/2015,2015,12,"17/09/2024, 8:17 PM","13/09/2020, 12:28 AM"
Jeene De,5:16,Mohit Chauhan,Tere Naal Love Ho Gaya (Original Motion Picture Soundtrack),Bollywood,1,6,24/02/2011,2011,8,"19/03/2023, 4:38 PM","23/12/2020, 12:26 PM"
Jhak Maar Ke,3:53,"Pritam, Neeraj Shridhar & Harshdeep Kaur",Desi Boyz (Original Motion Picture Soundtrack),Bollywood,0,2,18/10/2011,2011,5,"11/10/2023, 6:38 AM","07/05/2022, 11:00 PM"
Jo Bhi Main,4:34,Mohit Chauhan,Rockstar (Original Motion Picture Soundtrack),Bollywood,1,,30/09/2011,2011,2,,"11/06/2024, 7:26 AM"
Joota Japani,2:35,"KR$NA, Mukesh, Shankar - Jaikishan & Shailendra",Joota Japani - Single,Indian Pop,0,29,17/01/2024,2024,1,"19/02/2024, 8:17 AM","04/02/2024, 10:40 AM"
Judaai,2:53,Mitraz,Judaai - Single,Punjabi,0,5,12/09/2022,2022,4,"14/07/2024, 5:48 AM","11/12/2022, 9:50 PM"
Jugnu (feat. Nikhita Gandhi),3:50,Badshah,Jugnu (feat. Nikhita Gandhi) - Single,Indian Pop,0,4,26/10/2021,2021,1,"24/09/2024, 3:17 PM","18/09/2024, 2:06 PM"
Jump Around,3:35,House of Pain,House of Pain (Fine Malt Lyrics),Hip-Hop/Rap,0,2,05/05/1992,1992,4,"21/09/2023, 6:15 AM","10/06/2022, 10:56 AM"
Junoon,2:04,DIVINE,Junoon - Single,Hip-Hop/Rap,1,,10/11/2018,2018,,,"31/08/2020, 10:23 AM"
Just the Two of Us (feat. Bill Withers),7:18,"Grover Washington, Jr.",Love Songs,Jazz,0,1,01/01/1980,1980,5,"17/07/2024, 8:27 AM","30/08/2022, 12:14 PM"
Just the Way,3:14,Parmalee & Blanco Brown,Just the Way - Single,Country,2,1,13/12/2019,2019,11,"05/10/2021, 11:24 PM","20/12/2020, 11:57 AM"
Just the Way You Are,3:41,Bruno Mars,Doo-Wops & Hooligans (Deluxe Version),Pop,1,8,20/07/2010,2010,5,"30/07/2023, 10:11 AM","06/08/2020, 10:03 PM"
Kabhi Kabhi Aditi,3:39,Rashid Ali,Jaane Tu... Ya Jaane Na (Original Motion Picture Soundtrack),Bollywood,1,3,20/05/2008,2008,9,"20/09/2023, 7:09 PM","06/08/2020, 8:52 PM"
Kabira,3:43,"Pritam, Tochi Raina & Rekha Bhardwaj",Yeh Jawaani Hai Deewani (Original Motion Picture Soundtrack),Bollywood,1,5,30/03/2013,2013,10,"05/10/2024, 2:48 PM","07/08/2020, 10:21 AM"
Kahin To,5:03,Rashid Ali & Vasundhara Das,Jaane Tu... Ya Jaane Na (Original Motion Picture Soundtrack),Bollywood,1,4,20/05/2008,2008,9,"05/10/2021, 11:21 PM","06/08/2020, 8:52 PM"
Kaise Hua,3:55,Vishal Mishra,Kabir Singh (Original Motion Picture Soundtrack),Bollywood,1,13,13/06/2019,2019,13,"24/08/2024, 1:25 PM","07/08/2020, 1:11 AM"
Kali Range,3:11,Jass Manak,Age 19,Punjabi Pop,1,,19/02/2019,2019,16,,"08/08/2020, 2:01 AM"
Kalli Ho Gai,2:37,Jass Manak,Age 19,Punjabi Pop,1,16,19/02/2019,2019,8,"19/03/2024, 10:56 AM","08/08/2020, 2:01 AM"
Kamikaze,3:36,Eminem,Kamikaze,Hip-Hop/Rap,1,11,31/08/2018,2018,5,"29/09/2024, 9:42 PM","06/08/2020, 12:22 AM"
Kari’s Song (Long Way Home) [feat. Tati] [Original Music from the Netflix Film “Beats”],3:39,HappyBirthdayCalvin,Kari’s Song (Long Way Home) [feat. Tati] [Original Music from the Netflix Film “Beats”] - Single,Hip-Hop/Rap,1,35,19/06/2019,2019,9,"09/07/2023, 8:40 PM","08/12/2020, 12:53 AM"
"Kaun Hoye Ga (From ""Qismat"")",4:10,B. Praak & Divya Bhatt,"Kaun Hoye Ga (From ""Qismat"") - Single",Punjabi,1,12,24/08/2018,2018,20,"24/09/2022, 11:24 AM","21/12/2020, 6:01 PM"
Keep Their Heads Ringin',5:06,Dr. Dre,Friday (Original Motion Picture Soundtrack),Hip-Hop/Rap,0,,07/03/1995,1995,2,,"27/05/2024, 2:39 PM"
"Kesariya (From ""Brahmastra"")",4:28,"Pritam, Arijit Singh & Amitabh Bhattacharya","Kesariya (From ""Brahmastra"") - Single",Bollywood,0,10,17/07/2022,2022,4,"01/09/2024, 7:45 AM","12/08/2022, 11:04 AM"
Khaab,3:22,Akhil,Khaab - Single,Indian,0,34,12/01/2016,2016,10,"05/10/2024, 8:32 AM","07/08/2020, 10:17 AM"
Khaabon Ke Parinday,4:12,Alyssa Mendonsa & Mohit Chauhan,Zindagi Na Milegi Dobara (Original Motion Picture Soundtrack),Bollywood,0,1,03/06/2011,2011,9,"27/12/2023, 12:44 PM","07/08/2020, 9:55 AM"
Khayal,3:07,Shamoon Ismail,Cookie - EP,Pop,0,2,25/12/2018,2018,7,"27/12/2023, 11:44 AM","16/08/2023, 5:38 AM"
Khudaya Khair,4:41,"Soham, Akriti Kakkar & Monali",Billu (Original Motion Picture Soundtrack),Bollywood,1,2,05/01/2009,2009,9,"10/11/2023, 5:02 PM","07/08/2020, 9:23 AM"
Khutti,2:13,Diljit Dosanjh & Saweetie,Khutti - Single,Hip-Hop/Rap,1,16,22/03/2024,2024,,"06/10/2024, 7:00 PM","28/04/2024, 8:39 AM"
Khwaab,2:58,Anumita Nadesan,Khwaab - Single,Indian Pop,0,2,04/02/2022,2022,8,"04/09/2024, 7:10 AM","10/08/2022, 8:49 PM"
Kill You,4:25,Eminem,Curtain Call: The Hits (Deluxe Edition),Hip-Hop/Rap,0,,23/05/2000,2000,,,"22/06/2024, 7:08 AM"
Killshot,4:14,Eminem,Killshot - Single,Hip-Hop/Rap,0,4,14/09/2018,2018,4,"14/05/2024, 2:23 PM","07/10/2021, 12:42 PM"
Kim,6:18,Eminem,The Marshall Mathers LP,Hip-Hop/Rap,0,,23/05/2000,2000,,,"22/06/2024, 7:06 AM"
Kina Chir,3:36,The PropheC,The Lifestyle,Asia,0,11,29/12/2016,2016,15,"17/01/2024, 4:16 PM","13/11/2021, 4:45 PM"
Kinni Kinni,3:33,Diljit Dosanjh,Ghost,Punjabi Pop,0,,29/09/2023,2023,4,,"28/04/2024, 8:50 PM"
Kiss Me Thru the Phone (feat. Sammie),3:13,Soulja Boy Tell 'Em,iSouljaBoyTellem,Hip-Hop/Rap,0,,01/01/2008,2008,,,"17/09/2024, 3:29 PM"
Kitse,3:26,Nyn Music & Mohito,Kitse - Single,Traditional Folk,0,7,12/02/2023,2023,4,"15/08/2024, 4:15 PM","03/09/2023, 8:29 PM"
Know Your Enemy,3:12,Green Day,21st Century Breakdown (Deluxe Edition),Alternative,1,14,16/04/2009,2009,8,"17/02/2024, 8:12 AM","06/08/2020, 8:57 PM"
Koi Mil Gaya,7:18,"Jatin-Lalit, Kavita Krishnamurthy, Udit Narayan & Alka Yagnik",Kuch Kuch Hota Hai (Original Motion Picture Soundtrack),Bollywood,0,,13/08/1998,1998,2,,"12/02/2024, 5:06 PM"
Kun Faya Kun,7:51,"A.R. Rahman, Javed Ali & Mohit Chauhan",Rockstar (Original Motion Picture Soundtrack),Bollywood,0,1,30/09/2011,2011,,"11/06/2024, 7:35 AM","11/06/2024, 6:54 AM"
Kung Fu Fighting,3:18,Carl Douglas,Kung Fu Fighter,R&B/Soul,0,2,01/01/1974,1974,3,"22/05/2024, 7:49 AM","25/05/2023, 7:19 PM"
Kya Baat Ay,2:59,Harrdy Sandhu,Kya Baat Ay - Single,Indian Pop,1,1,24/09/2018,2018,5,"15/10/2023, 5:30 PM","04/05/2023, 12:53 PM"
Kya Mujhe Pyaar Hai,4:27,KK,Woh Lamhe (Original Motion Picture Soundtrack),Bollywood,1,1,12/08/2006,2006,10,"22/03/2021, 11:35 PM","07/08/2020, 9:23 AM"
L.A. Story (feat. Mike Posner),3:28,Sammy Adams,L.A. Story (feat. Mike Posner) - Single,Pop,1,6,28/05/2013,2013,10,"03/06/2024, 7:12 AM","05/08/2020, 11:29 PM"
La La La,3:12,Neha Kakkar & Arjun Kanungo,La La La - Single,Indian Pop,2,19,07/02/2018,2018,14,"10/08/2023, 7:03 AM","08/08/2020, 1:05 AM"
Laal Bindi,3:23,Akull,Laal Bindi - Single,Indian Pop,0,22,20/04/2018,2018,8,"28/09/2024, 7:54 AM","13/10/2020, 1:23 AM"
Ladies and Gentlemen,3:37,Saliva,Blood Stained Love Story,Hard Rock,1,5,01/11/2006,2006,5,"26/03/2023, 7:18 AM","14/09/2020, 3:18 PM"
Ladykiller,2:46,Maroon 5,Overexposed (Deluxe Version),Pop,1,2,20/06/2012,2012,5,"28/06/2023, 8:57 AM","06/08/2020, 10:00 PM"
Laembadgini,3:06,Diljit Dosanjh,Laembadgini - Single,Indian Pop,0,,20/12/2016,2016,,,"29/08/2024, 7:49 AM"
Lahore,3:17,Guru Randhawa & Vee,Lahore - Single,Indian Pop,1,5,14/12/2017,2017,10,"01/09/2023, 7:44 AM","07/08/2020, 12:44 AM"
Lalkara (feat. Sultaan),2:41,Diljit Dosanjh,Ghost,Worldwide,0,5,29/09/2023,2023,,"07/10/2024, 8:40 AM","31/01/2024, 10:51 AM"
Lamberghini (feat. Ragini),3:37,The Doorbeen,Lamberghini - Single (feat. Ragini) - Single,Indian Pop,1,5,26/02/2018,2018,7,"01/10/2024, 7:32 AM","07/08/2020, 11:58 AM"
